제목,본문_clean,topic_id,topic_label
LG 광파오븐 비교해주세요,MLJ39EW 이거랑 MLJ39WW랑출시시기 외에 뭐가 다른가요??,4,광파오븐 핵심 사용/구매/레시피
광파오븐 청소할땨 이런 성분 제품 괜찮은가요?,음식을 뎁혀 먹는 곳이라 걱정 돼서요 ㅠㅠ,4,광파오븐 핵심 사용/구매/레시피
광파오븐렌지 금속회전판은 안전해요?,전자렌지에는 금속을 넣으면 안 되잖아요. 그런데 회전판이 금속인데 이 회전판은 왜 괜찮죠,3,이사/생활 주변 맥락 (광파오븐 포함)
엘지 광파오븐 mz385ebt 렌지대,엘지 광파오븐이 생겼는데 그냥 인터넷에 파는 기성품장에 설치해도 괜찮을까요??무게가 생각보다 무거워서 가능한지 아니면 따로 주문제작 장을 설치해야하는지 궁금합니다.,1,주방 공간 배치 및 인테리어 고민
Lg 광파오븐 터치안됨,저희집이 광파오븐 엘쥐꺼 쓰는데 며칠 전부터 터치가 안돼서 못쓰고 있어요ㅠ이거 어떻게 고치나요,4,광파오븐 핵심 사용/구매/레시피
Lg광파오븐 회전접시 질문,LG 오브제 컬렉션 광파오븐 MLJ39EW 미스트 베이지 이용중입니다. 오븐요리를 하려고 오븐용기를 샀는데 회전접시는 돌아가는데 오븐용기는 안돌아갑니다. 회전접시 안돌아가는데 조리해도 문제가 없을까요?,1,주방 공간 배치 및 인테리어 고민
LG오브제 광파오븐 식품건조 기능 궁금해요,LG오브제 광파오븐 MLJ32ERS 모델이구요 고기로 강아지 간식 만들어주려고 하는데 일반 식품건조기보다 건조시간이 오래 걸린다거나 건조 기능이 조금 부족하다는 말도 있고 광파오븐으로 건조 기능 이용했다는 내용은 못봤는데 식품건조기랑 차이 많이 안나고 잘 될까요??,4,광파오븐 핵심 사용/구매/레시피
엘지 광파오븐 관련 질문.,오브제라인은 빌트인 광파 오븐이 없나요?,1,주방 공간 배치 및 인테리어 고민
Lg 광파오븐레인지,이번에 광파오븐레인지 구매하려고 하는데 제가 베이킹을 목적으로 사용할거 같아서요. 그런데 오븐레인지면 오븐 기능일 경우에도 펜이 돌아가나요?,4,광파오븐 핵심 사용/구매/레시피
LG광파오븐 멀티클린기능 사용 중 연기,제품 구매후 3개월 정도 썼고 전자레인지나 오븐기능을 주로 사용했었는데요오늘 처음으로 멀티클린 기능이 있어 사용해보았습니다.스팀청소할 때 부터 오븐기능 사용할 때랑 비슷하게 타는 냄새가 났었고 스팀발생기 세정까지 마친 뒤 탈취기능을 돌렸습니다. 탈취종료 알림을 받고 오븐을 확인하러 갔는데(세탁실에 오븐 놓고 사용 중입니다.) 세탁실 안에 연기가 가득 차있어 당황했고 바로 세탁실 창문과 주방창문까지 열고 환기했습니다만 아직도 타는 냄새가 안빠지네요 ㅠ 두가지 스팀기능 사용시 물 넣는 곳에 물을 꽉채우진 않았었고 얼추 다 채우고 돌렸고 탈취기능 사용시엔 스팀끝나고 바로 돌려서 탈취종료 후 오븐 내부 확인하니 바닥면에 물기가 가득했습니다. 멀티클린 기능은 앞에 말씀드린 스팀청소 스팀발생기 세정 탈취기능 3개 연달아 돌렸습니다.궁금한건 원래 이 기능들 사용하면 이렇게 연기가 나는게 정상인건지요? 아니면 오븐에 문제가 있는건지 궁금합니다. 처음 청소했는데 괜히했나 싶고 앞으로는 이 기능 못쓸것 같네요 ㅠㅠ,4,광파오븐 핵심 사용/구매/레시피
광파 오븐레인지 뒷 쪽,쿠팡에서 광파 오븐레인지 샀는데상품 설명서에 뒷쪽을 벽에 밀착시켜 사용하라고 나와있더라고요.근데 광파 오븐렌지 꼭 뒷쪽을 벽에 붙여 사용해야 하나요?옆쪽은 다 공간 확보 사용중인데뒷 쪽까지 네 방면 다 띄워서 사용하면 안될까요?안되면 이유가 뭘까요?제품 본사 연락이 안되서 지식인 남겨요~,4,광파오븐 핵심 사용/구매/레시피
엘지 광파오븐 차이점,"ml32gw1     mlj32ers 두 제품 출시시기, 디자인 이외에는 같은제품 같은데두 제품 차이가 알려주실분 계실까요?",1,주방 공간 배치 및 인테리어 고민
광파오븐 밑불 강화 방법,밑불없는 광파오븐을 쓰고 있는데 치아바타가 자꾸 아랫면이 안익고 눅눅해요ㅠㅠ밑불강화를 위해 알아보니까 베이킹스톤을 사거나 르쿠르제같은 주물냄비를 사용하라는데..집에 르쿠르제 냄비가 사이즈별로 있긴 하거든요..!근데 어떻게 사용하나요?이렇게 생긴 범랑팬이 있는데 그 밑에 르쿠르제 놓고 같이 예열해서 구우면 되나요?자세히 좀 알려주세요 고수님들ㅠㅜ,4,광파오븐 핵심 사용/구매/레시피
Lg 디오스 광파오븐,오븐 온도가 95도까지 밖에 안올라가는데 온도 어떻게 올리나요??,1,주방 공간 배치 및 인테리어 고민
광파오븐 중성세제,메뉴얼에 광파오븐 청소할때 중성세제로 닦고 행주로 닦아내라는데 여기서 중성세제가 퐁퐁(주방세제) 맞나요?퐁퐁으로 닦고 물로 안씻어내고 행주로만 닦아도 되나요?,4,광파오븐 핵심 사용/구매/레시피
MZ385EBT 광파오븐,"아파트에 빌트인 되어있는 MZ385EBT 모델, 제조 18년 2월 거 사용 중인데요!전자레인지를 돌려도 음식이 안 따뜻해져요 ㅠㅠ 돌아 가기는 하는데 데워지지 않습니다 해결 방법이 있을까요?",3,이사/생활 주변 맥락 (광파오븐 포함)
엘지 디오스 광파오븐 소음,뭔가 이건 아니다싶은 소리가 납니다타다다다다다다다다다닥 하는 소리가…뭔가 열선에서 뭔가 튀면서 나는 소리인것 같긴한데소음이 워낙 크고 제법 길어서이건 좀 아니다 싶은데 왜 그런걸까요?그래도 정상인걸까요?뭔가.. 탄내도 같이 나는것 같아요                    0초                0초       광고 후 계속됩니다.     다음 동영상 subject author          취소         엘지 디오스 광파오븐 소음                     재생 (space/k)   재생   00:29                 0:00:00               재생 (space/k)   재생 음소거 (m)         음소거       00:00  /   00:29  실시간       설정      전체 화면 (f)                       해상도                   자동 (480p)                   자막                  사용 안함                   재생 속도                  1.0x (기본)          인기 구간 표시    해상도       자동 (480p)     HD        1080p     HD        720p     HD        480p            270p         자막   설정       사용 안함         옵션  글자 크기    배경색    재생 속도   0.5x 1.0x (기본) 1.5x 2.0x           죄송합니다. 문제가 발생했습니다. 다시 시도해 주세요.          도움말              음소거 상태입니다.                         도움말                                      라이선스                                      디버그 정보 다운로드                       고화질 재생이 가능한 영상입니다.     설정에서 해상도를 변경해보세요.     더 알아보기   00:00,5,미분류
LG디오스 광파오븐 불꽃,전자렌지기능으로 돌리면 불꽃과함께 탄냄새가 납니다.내부청소는 잘돼있습니다                    0초                0초       광고 후 계속됩니다.     다음 동영상 subject author          취소         LG디오스 광파오븐 불꽃                     재생 (space/k)   재생   00:06                 0:00:00               재생 (space/k)   재생 음소거 (m)         음소거       00:00  /   00:06  실시간       설정      전체 화면 (f)                       해상도                   자동 (480p)                   자막                  사용 안함                   재생 속도                  1.0x (기본)          인기 구간 표시    해상도       자동 (480p)     HD        1080p     HD        720p     HD        480p            270p         자막   설정       사용 안함         옵션  글자 크기    배경색    재생 속도   0.5x 1.0x (기본) 1.5x 2.0x           죄송합니다. 문제가 발생했습니다. 다시 시도해 주세요.          도움말              음소거 상태입니다.                         도움말                                      라이선스                                      디버그 정보 다운로드                       고화질 재생이 가능한 영상입니다.     설정에서 해상도를 변경해보세요.     더 알아보기   00:00,5,미분류
Lg 광파오븐시 석쇠에서 스파크튐,전자레인지모드로 돌리는데 몇년동안은 문제없었는데갑자기 얼마전부터 스테인레스석쇠에서스파크가 막 튀면서 이상한고무가 불에타는 듯한 역한 냄새가 엄청 심한데사용을 못하겠습니다.LG오븐에 원래 들어가는 석쇠인데 왜 갑자기 스파크가 막 튀는걸까요?,1,주방 공간 배치 및 인테리어 고민
ML32WW1 LG 광파오븐 조절다이얼 기능 질문,조절다이얼이 버튼식인데 버튼을 누르면 무슨 기능이 있는건가요... 메뉴얼을 봐도 없네요,4,광파오븐 핵심 사용/구매/레시피
LG광파오븐 전기세,안녕하세요 베이킹좋아하는 초등학생인데 제가 머랭쿠키만들고100도에 90분을 돌렸어요 근데 아빠가 전기세 너가내라고 엄청 많이나온다고 진짜뭐라해요ㅠㅜ 용돈에서 깎는다는데 보통 얼마정도나오나요?,1,주방 공간 배치 및 인테리어 고민
광파오븐 내부 구조 질문,"광파오븐을 보면 내부 후면에 저런 구멍이 많이 있습니다.당연 환풍이나 열 순환 구멍이라 생각하는데요.오븐청소 영상을 보면 저 구멍에 물이며, 세제며 다 쏘더라구요.정확히 저 판 뒤가 어떻게 되어있는건가요?",4,광파오븐 핵심 사용/구매/레시피
쿠팡 LG광파오븐,쿠팡에서 오븐레인지를 사려는데 LG가 색만 다른 것 같은데 가격차이가 있어서 뭐가 좋을지 모르겠어요 저는 흰색 사고 싶은데 이 두개가 정말 색만 다른 건가요??,4,광파오븐 핵심 사용/구매/레시피
엘지 광파오븐...,엘지 광파오븐 이거 햇반 통째로 돌리면 안되나요? 뭔 냄새나는데,4,광파오븐 핵심 사용/구매/레시피
가스레인지 밑에 광파오븐넣어도 될까요?,가스레인지 하단 수납 위쪽에 가스선이랑 다 보이는데광파오븐 두고 사용해도될까요?만약 넣었다고 가정했을때뒷여유공간 10cm까지는 아니고6.7cm 정도 여유공간이 생기고윗여유는 10cm정도 되는거같습니다아파트는 처음이라 뭐든지 다 두렵네요ㅠㅠ넣어도될까요?,3,이사/생활 주변 맥락 (광파오븐 포함)
엘지 광파오븐 아래,사진 동그라미는 어떻게 사용하는 건가요 자세하게 알려주세요!!,1,주방 공간 배치 및 인테리어 고민
LG광파오븐 스팀 사용시 흰가루?,"미네랄성분이라는데 인체에 무해한..근데 그전 타사오븐에서는 이런증상이 없었는데진짜무해한거맞나요?스팀기세정을 해도 다시나오네요.정수기물을 쓰는데도요.성분검사 의뢰해보고 싶네요.지인찬스가 있어서 함해볼 기회가 있는데,..이상없는거 맞을까요?검사해볼까요?",4,광파오븐 핵심 사용/구매/레시피
Lg 광파오븐 소리,자세히 들어보면 틱틱틱틱틱 이런 소리 나는데 왜그런걸까여?ㅠㅜ 원래 안나다 갑자기 이러네요 ㅠ                    0초                0초       광고 후 계속됩니다.     다음 동영상 subject author          취소         Lg 광파오븐 소리                     재생 (space/k)   재생   00:11                 0:00:00               재생 (space/k)   재생 음소거 (m)         음소거       00:00  /   00:11  실시간       설정      전체 화면 (f)                       해상도                   자동 (480p)                   자막                  사용 안함                   재생 속도                  1.0x (기본)          인기 구간 표시    해상도       자동 (480p)     HD        1080p     HD        720p     HD        480p            270p         자막   설정       사용 안함         옵션  글자 크기    배경색    재생 속도   0.5x 1.0x (기본) 1.5x 2.0x           죄송합니다. 문제가 발생했습니다. 다시 시도해 주세요.          도움말              음소거 상태입니다.                         도움말                                      라이선스                                      디버그 정보 다운로드                       고화질 재생이 가능한 영상입니다.     설정에서 해상도를 변경해보세요.     더 알아보기   00:00,5,미분류
광파오븐 청소하는 방법좀 알려주세여,광파오븐이 전자레인지처럼쉽게 잘 닦이질않는데여... 특히원형으로 되어있어서닦기도 힘들고... 천정쪽을 보면 기름때가많은데.. 이건또 어떻게 해야하는지~`,4,광파오븐 핵심 사용/구매/레시피
광파오븐렌지 추천,광파오븐렌지 알아보고있는데 어떤게 좋은가요?,1,주방 공간 배치 및 인테리어 고민
쿠쿠 광파멀티오븐 cmw-c 시리즈 조리모드,조리모드의 이 코드들이 무슨 의민지 나와있는 설명서도 블로그도 없네요. 공홈도 그렇고. 7가지 기능이 있다는데 잘 활용하고 싶어요알려주세요,1,주방 공간 배치 및 인테리어 고민
lg오브제 광파오븐 스팀오븐 사용법?,lg오브제 광파오븐 기능중 스팀오븐 사용이 궁금해요?빵 구울때 스팀오븐을 사용하면 스팀이 계속 나오나요?아님 몇분 간격으로 나오나요?다른 오븐은 스팀횟수를 설정할수 있던데lg오븐은 어떤가요?,4,광파오븐 핵심 사용/구매/레시피
광파오븐 내부 청소,사진 속 광파오븐 내부 벽에 있는 저게 기름때인지 그을음인지 뭔진 몰라도 베이킹 소다로 불리고 닦아도 안지워지고 식초로 닦아도 안지워지고 중성세제로 닦아도 안지워지더라고요 저게 뭔지 그리고 어떻게 지울 수 있는지 알려주세요,4,광파오븐 핵심 사용/구매/레시피
Lg dios 광파오븐 작동멈춤,Lg dios 광파오븐 작동이 자꾸 멈춰요.체크한 부분이 깜빡이면서 작동을 멈춥니다. 폭팔하거나 그러지 읺겠죠?ㅠㅠ,3,이사/생활 주변 맥락 (광파오븐 포함)
Lg 광파오븐 워밍드로워 분리가 되나요?,하단에 서랍같이 되어있는 게 워밍드로우? 워밍드로워? 라고 하던데쓸모없어서 저 위치에 로봇청소기장 넣으려고 하는 중입니다혹시 저 하단 워밍드로워가 분리가 되나요?,3,이사/생활 주변 맥락 (광파오븐 포함)
광파오븐 홈베이킹,광파오븐으로 홈베이킹 하고 싶은데광파오븐이 180도 같은 세세한 온도 조절이 되나요...?,4,광파오븐 핵심 사용/구매/레시피
lg 광파오븐 청소 시 베이킹 소다,LG 광파오븐 사용중이고 기름때 청소하려고 찾아보다가베이킹소다를 치약처럼 걸쭉하게 해서 기름때 부분에 발라서하루 정도 방치후에 닦아내라는 게시물을 보고 청소를 했습니다. 그런데 광파오븐 내에 구멍에 베이킹소다들이 들어간것 같은데 이것들을 어떻데 청소할수 있을까요? ㅠㅠ,4,광파오븐 핵심 사용/구매/레시피
EON-C500F 광파오븐에 맞는 오븐팬이 있을까요?,부속품으로 오는 오븐팬은 굴곡이 심해서 굴곡없는 평평한거를 찾고 있는데 혹시 호환되는 팬이 있을까요?,1,주방 공간 배치 및 인테리어 고민
"lg 광파오븐 에어프라이기, 오븐 사용법",어떻게 쓰는지 좀 알려주세요 ㅜㅜ 설명서를 봐도 전혀 모르겠어요... 예열하고 오븐사용하고싶은디..,4,광파오븐 핵심 사용/구매/레시피
LG DIOS 광파오븐 사용시 질문,이번달에 구매했는데 함께 주는 법랑 트레이와 철망을 전자렌지 모드 사용시에도 써도 되는건가요?아니면 에프용으로만 써야되는건가요?설명서 보면 세모로 표기되있고 사용할때마다 뭔가 법랑 트레이랑 철망 관련 이모티콘이 화면에 뜨던데… 어떻게 사용해야되는지 모르겠어요.﻿,1,주방 공간 배치 및 인테리어 고민
Lg 광파오븐 와이파이 기능 오류,ML32EW1 을 사용중입니다ThinQ에 넣고싶은데 큐알코드가 조금 지워져서 찍히지 않아요추가기능에서 와이파이 설정으로 다이얼 돌리고 시작을 눌러도 띵. 소리만 나고 와이파이(기능)가 켜지지않습니다. 혹시 와이파이를 초기화 하는 방법은 없나용….,3,이사/생활 주변 맥락 (광파오븐 포함)
MZ385EBT lg 광파오븐 오류,이 상태에서 소리나면서 저 빨간 네모가 계속 나타나는데 어떻게 꺼야할까요,2,신축/이사 입주 시 가전 선택
LG 광파오븐 이렇게 뜨는데 에러일까요?,특선구이 군고구마로 설정했습니다,5,미분류
베이킹 초보 도와주실 분,제가 우유빵을 만들었는데 레시피 영상에 나온 것처럼 170도에 20분으로 오븐을 돌렸는데 밑은 새카맣게 다 타고 위에도 진한 갈색으로 탔어요. 그런데 안에는 다 안 익고 밀가루 맛이 나요. 이번뿐만 아니라 저번에도 겉은 타고 안에는 안 익었었어요. 참고로 저희 집 오븐은 LG DIOS 광파오븐이고 안에 층층이 넣는 게 아니라 돌아가는? 구조예요. 빵이 계속 타서 너무 슬프네여 도와주세요ㅠㅠ,1,주방 공간 배치 및 인테리어 고민
빵 오븐 발효,Lg 광파 오븐레인지 쓰는데 빵 발효 옵션으로 발효해보려는데 오븐 발효 괜찮은가요? 반죽은 식빵 반죽이랑 비슷해요,4,광파오븐 핵심 사용/구매/레시피
광파오븐레인지 스파크,Lg 광파오븐레인지 불꽃 스파크 원인?전자레인지 가동시사진 부위에 불꽃이 지지직소리와함께 나요.청소도 잘했어요.무슨 문제일까요?계속쓰면 더크게 고장나나요?전에 쓰던 것도 이런 불꽃튀는현상때문에 버렸어요.광파오븐 고질적 결함아닌가요?이건 빌트인이라 수리해야할지 고민이라 질문합니다.수리는 뭘어떻게 해야하나요?수리비도 궁금합니다.,4,광파오븐 핵심 사용/구매/레시피
LG광파오븐 조명 고장난건가요??,"LG 광파오븐 사용중인데, 문열었을 때 조명이 하얀색 하나만 들어와요. 예전에는 더 밝았던 것 같은데... 이게 조명이 고장난 것이 아닌지 궁금합니다.모델명: MLJ32HRS원래 이런가요??",4,광파오븐 핵심 사용/구매/레시피
LG_MLJ39WW 광파오븐,"MLJ39WW 모델로 광파오븐이 있는데, 전에 쓰던 오븐에서 똑같은 온도로 똑같은 시간으로 구워도 베이킹이 자꾸 다 안익어요. 어떻게 해야하나요?",1,주방 공간 배치 및 인테리어 고민
광파오븐 틀 사이즈,"제가 삼성스마트오븐 쓰는데요(집에 있는 전자레인지겸용 오븐) 베이킹을 하려고 틀을 샀는데 입구에는 들어가지만,틀이 전자레인지처럼 빙글빙글돌아야되는데 사이즈가 안 맞아서 안 돌아가고 낑기네요.... 그냥 넣고 돌리면 문제가 생길까요?",1,주방 공간 배치 및 인테리어 고민
엘지 광파오븐 샀는데 에프 사용시 나는 소리?,엘지광파오븐을 샀는데 에프로 사용시 처음 1-2분간 정체불명의 소리가 나는데 써비스 센타 에서는 정상 이라고 하는데 이유를 알 수 있을까요~?                    0초                0초       광고 후 계속됩니다.     다음 동영상 subject author          취소         엘지 광파오븐 샀는데 에프 사용시 나는 소리?                     재생 (space/k)   재생   02:20                 0:00:00               재생 (space/k)   재생 음소거 (m)         음소거       00:00  /   02:20  실시간       설정      전체 화면 (f)                       해상도                   자동 (480p)                   자막                  사용 안함                   재생 속도                  1.0x (기본)          인기 구간 표시    해상도       자동 (480p)     HD        1080p     HD        720p     HD        480p            270p         자막   설정       사용 안함         옵션  글자 크기    배경색    재생 속도   0.5x 1.0x (기본) 1.5x 2.0x           죄송합니다. 문제가 발생했습니다. 다시 시도해 주세요.          도움말              음소거 상태입니다.                         도움말                                      라이선스                                      디버그 정보 다운로드                       고화질 재생이 가능한 영상입니다.     설정에서 해상도를 변경해보세요.     더 알아보기   00:00,5,미분류
LG 광파오븐,"광파오븐을 구매하려고 하는데요 쿠팡에서 보니까 매장보다 더 싸더라고요 근데 2개가 같은 오븐인 것 같은데 금액이 달라서요 보니까 모델명이 조금 다르긴한데 가격처럼 성능도 차이가 많이 나나요? 무슨 무슨 성능이 있는 건지,,",4,광파오븐 핵심 사용/구매/레시피
광파오븐에서 소리와 불꽃이 나요 알려주세요,한번도 그런적이 없는데 오늘아침 냉동밥돌리니까 갑자기 그래요코팅이 벗겨진것도 아닌데 왜그럴까요?                    0초                0초       광고 후 계속됩니다.     다음 동영상 subject author          취소         광파오븐에서 소리와 불꽃이 나요 알려주세요                     재생 (space/k)   재생   00:15                 0:00:00               재생 (space/k)   재생 음소거 (m)         음소거       00:00  /   00:15  실시간       설정      전체 화면 (f)                       해상도                   자동 (480p)                   자막                  사용 안함                   재생 속도                  1.0x (기본)          인기 구간 표시    해상도       자동 (480p)     HD        1080p     HD        720p     HD        480p            270p         자막   설정       사용 안함         옵션  글자 크기    배경색    재생 속도   0.5x 1.0x (기본) 1.5x 2.0x           죄송합니다. 문제가 발생했습니다. 다시 시도해 주세요.          도움말              음소거 상태입니다.                         도움말                                      라이선스                                      디버그 정보 다운로드                       고화질 재생이 가능한 영상입니다.     설정에서 해상도를 변경해보세요.     더 알아보기   00:00,5,미분류
LG 빌트인 광파오븐 하단 부 어떻게 여나요??,모델명은 이렇구요..저기 빨간색 부분 어떻게 여나요??,1,주방 공간 배치 및 인테리어 고민
lg광파오븐 질문,엘지 광파오븐 사용하고있는데요 사진처럼 문 안쪽 고무부분이 열기때문인지 저렇게 녹았다해야하나?발견 후 닦아줬는데 돌기처럼 떨어져요ㅠㅠ 저거 어떻게 해야하나요 음식물 돌릴때 저거 들어갈거같아요...찝찝하네요 모델명은 ML32EW1입니다,4,광파오븐 핵심 사용/구매/레시피
Lg 광파오븐  이물질 들어감,매직블럭으로 박박 문지르다가 구멍안에 갈려 들어갔는데 수리 맡겨야할까요?,4,광파오븐 핵심 사용/구매/레시피
쿠쿠 광파오븐,쿠팡을 추천합니다!마메 전자레인지 에그메이커 찜기https://link.coupang.com/a/b3DMbF이거 쿠크 광파오븐 전자레인지 기능으로 사용해도 되나요?판매자한테 물어보니 애매하게 답을 하네요,1,주방 공간 배치 및 인테리어 고민
"광파오븐, 철제쓰레기통 여리로 어플로 배출방법?",항목에 얘네가 없던데 어떻게 하죠?그리고 광파오븐 한번 내놓았는데 수거안해가네요ㅠ 기름때 오염되서 그런가요??,4,광파오븐 핵심 사용/구매/레시피
인덕션하고 광파 오븐 전기땜에요,이번에 새 아파트 입주를 하는데 인덕션하고 광파오븐하고 같은 콘센트에 꽂혀있게 생겼더라구요그래서 보니까두꺼비집이 일케 생겼어요같은데 꽂아 써도 될까요??,1,주방 공간 배치 및 인테리어 고민
SK매직 광파오븐,광파오븐 사려고 하는데 SK매직 EONC201F와 EONC221F의 성능 차이점이 무엇인가요??,1,주방 공간 배치 및 인테리어 고민
고용량 멀티탭 사용 전력계산 도와주세요ㅠㅠ,"고용량 멀티탭이 16A 4,000w까지 가능인데 광파오븐, 냉장고, 밥솥을 견딜 수 있을까요..? 광파오븐을 오늘 받았는데 15A콘센트에 단독으로 사용하라 해서 걱정 되어 여쭤봅니다",1,주방 공간 배치 및 인테리어 고민
Lg광파오븐 청소,LG광파오븐 내부에 자국이 나서 기름때세정제 베이킹소다 식초 물 넣고 스팀 다 해봤는데 안지워지는데요 ㅠ 혹시 방법 없을까요 ㅠㅠㅠㅠㅠㅠ 광고 사절이요,4,광파오븐 핵심 사용/구매/레시피
쿠쿠 광파오븐 돌아가는 팬 빼고 써도 되나요?,틀을 샀는데 틀이 너무 커서 오븐이 돌아갈때 틀이 낑겨요그래서 돌아가는 팬을 빼고 거치대만 두면 안돌아가서 괜찮은데 이렇게 써도 되나요?,1,주방 공간 배치 및 인테리어 고민
광파오븐으로 쿠키,광파오븐으로 빵은 잘 구워졌는데 쿠키는 바삭한식감있게 안구워지고 반죽이 녹을것처럼 있기만 해요.. 어떻게 해야 되나요....?,2,신축/이사 입주 시 가전 선택
lg 광파오븐 문 열리는 틈새? 이음새?,광파오븐 설치 후 거의 햇반만 돌렸고 요리로는 거의 사용 안했습니다 고구마를 찌는 과정중에 생긴건진 모르겠으나지워지지도 않고 무슨 얼룩 비슷한게 생겼는데이전엔 자세히 보지 않았으나 어느순간 생겨있네요아무리해도 지워지지않고 틈새로 물티슈를 넣어 닦아봐도그대로에요 도대체 저게 뭔가요 지울수는 없을까요?한번 보이니 쓸때마다 보게되는게 신경쓰이네요자세히 보면 무슨 뱀가죽 비슷한 환공포증...아우 짜증나네요,5,미분류
Lg 광파오븐 제과,안녕하세오 Lg꺼 광파오븐 쓰는데여 쿠키나 머랭쿠키 만들때 lg꺼 오븐 판이 울퉁불퉁해서 좀 모양이 이상하게 나와서 그냥 평평한 판 을 사고 싶은데여 lg 광파오븐꺼랑 사이즈 똑같은 평평한 판 ㅇ어디서 사야되나여ㅠㅠ?? 사진은 제가 쓰고잇는 판 입니다ㅜ,1,주방 공간 배치 및 인테리어 고민
LG광파오븐 트레이,아파트 기본 옵션으로 있는 lg 광파오븐을 사용하고있는데이게 이전 세입자들부터 계속 사용했던거라서 코팅이 벗겨진건지 원래 트레이가 이런건지사용만 하면 아래에 저렇게 기름때같은게 까맣게 끼고 잘 지워지지도않습니다..과탄산소다에 물이랑 해서 하루종일 불려놔도 안지워져요 ㅠㅠ 원래 이런가요..?,4,광파오븐 핵심 사용/구매/레시피
마카롱 오븐,마카롱 만드려고 오븐 바꿀려하는데 lg 디오스 광파오븐 마카롱 잘 만들어지나요??,4,광파오븐 핵심 사용/구매/레시피
LG광파오븐 청소 문의,안에 1년동안 사용해서 완전 쓰레가가 된거 같아요ㅜㅜ세척도 잘 모르겠고 안에 기름때가 이렇습니다.어떻게하면 깨끗하게 청소될까요?,4,광파오븐 핵심 사용/구매/레시피
삼성 비스포크 직화오븐 35L 사용하신분 답좀 주세요~,제가 엘지 오브제컬렉션 광파오븐을 사용했는데 전자레인지기능 : 잘됨에어프라이어 : 일반 가공식품 레시피 시간대로 하면 냉동상태 그대로입니다..레시피의 2배이상을                   가동시켜야 먹을수 있을정도....오븐 : 레시피의 2배 이상을 가동시며야 될까말까....하...그래서 삼성 직화오븐으로 바꿀까 싶은데...멀티오븐들이 다 엘지처럼 저런가 싶어 궁금합니다.삼성 직화오븐이 전자레인지 기능이 좀 약하다는 얘기는 있던데...어느정도인지. 예를 들어 햇반을 레시피대로 돌렸을때...에어프라이어도 가공식품 봉지에 나와있는 레시피 시간대로 했을때 어떤지....오븐도...사용하신분 답변좀 부탁드립니다  ㅠ.ㅠ,2,신축/이사 입주 시 가전 선택
LG 광파오븐 연마제 제거,디오스 오브제컬렉션 광파오븐 최근에 새로 들였는데 요거 연마제 제거 따로 해줘야하나요? 지금까지는 몇 번 사용하고 스팀청소만 해 준 상태예요,4,광파오븐 핵심 사용/구매/레시피
"트루리빙12L광파오븐도 생선,고기를 뒤집어줘야하나요?","쿠팡에서 구매하려는데, 기존의 에어프라이어는 생선이나 고기를 구울때에 한번씩 뒤집어줘야하는 불편함이있고 내부가 안보이는 불편함이있는데 사진의 오븐은 기존의 에어프라이어처럼 중간에 뒤집어 주지않아도 되는건가요????뒤집어 주지않아도 되는듯하기는 한데 정확하게 나와있지않네요??",4,광파오븐 핵심 사용/구매/레시피
가정용 오븐 추천,제과제빵을 하려고 오븐을 사려 하는데 오븐 추천해주시면 감사하겠습니다! 가격은 70만 넘어가는게 아니라면 상관없습니다.넣을수 있는 공간?이 좀 넉넉했으면 좋겠습니다.설치가 간편했으면 좋겠어요!,1,주방 공간 배치 및 인테리어 고민
오븐 종류 질문,"컨벤셔널 오븐, 컨벡션 오븐, 광파 오븐 이 세가지 오븐 종류 중에서  1순위로 스테이크 및 육류 2순위로 생지나 빵 데우기 (제빵 아님)3순위로 제과 뭐가 좋을까요?+ 오븐을 에어프라이기 데용으로 사용할 수는 없겠죠?",1,주방 공간 배치 및 인테리어 고민
오븐청소방법 알려주세요,빌트인오븐 윗부분 (열선포함) 청소 꿀팁이 있을까요?묵은 때라 그냥 닦는걸로는 잘 안닦이네요 ㅠㅠ,4,광파오븐 핵심 사용/구매/레시피
이 오븐 베이킹 가능한가요?,제곧내!!!!!,1,주방 공간 배치 및 인테리어 고민
에어프라이어 사용시 깨지는 소리 나는 이유는,검색어광파오븐렌지의소음원인과해결방법이궁금해요,5,미분류
오븐하고 에어프라이어 기능  두가지 다 있는 제품 추천,오븐하고 에어프라이어 두가지 기능있는제품 추천부탁드려요. 너무 용량큰거 말고  10~20리터 짜리로 추천부탁드려요,1,주방 공간 배치 및 인테리어 고민
LG dios ml39bw 전자레인지 사용법,머랭쿠키 만드려고 90도 90-120분 돌리려면 1-N중에서 몇으로 돌려야하나요? 급해요 내공 드려요,1,주방 공간 배치 및 인테리어 고민
